,DER_mass_MMC,DER_mass_transverse_met_lep,DER_mass_vis,DER_pt_h,DER_deltaeta_jet_jet,DER_mass_jet_jet,DER_prodeta_jet_jet,DER_deltar_tau_lep,DER_pt_tot,DER_sum_pt,DER_pt_ratio_lep_tau,DER_met_phi_centrality,DER_lep_eta_centrality,PRI_tau_pt,PRI_tau_eta,PRI_tau_phi,PRI_lep_pt,PRI_lep_eta,PRI_lep_phi,PRI_met,PRI_met_phi,PRI_met_sumet,PRI_jet_num,PRI_jet_leading_pt,PRI_jet_leading_eta,PRI_jet_leading_phi,PRI_jet_subleading_pt,PRI_jet_subleading_eta,PRI_jet_subleading_phi,PRI_jet_all_pt
DER_pt_ratio_lep_tau,0.07099969310145803,0.34823836385764995,0.09840820930937971,0.08982150765117833,-0.0883533100532015,-0.0522606088412325,0.06253173706244083,0.04825051954766892,0.03906238704711398,0.10777409385517885,1.0,-0.03850984217443662,-0.05740217761196041,-0.47404673736976,-0.0003687223012326317,0.0013987027770161675,0.7005197839554216,-0.0004436190034581068,-0.0014927109485915184,0.05453337628011682,-0.0031138520542504555,0.049505107168180414,0.05294889070052019,0.07718313080962015,0.0015938295183939933,-0.0035639858449847354,0.04426601915534536,-0.0030356556641708845,0.0035594701491915375,0.077622240395603
DER_met_phi_centrality,0.018046469468610982,-0.41940238324010315,-0.09118666192914884,0.5408544490012109,0.1037671001055455,0.14586257077885767,-0.11071837550264432,-0.20517446078810742,0.18301858476984142,0.41889918442503365,-0.03850984217443662,1.0,0.1023345176470381,0.13998494108524018,0.006260989938976275,0.0019662643736904394,0.053493315089777574,0.01341886242158331,-0.0003096382782788744,0.18223377224977466,0.010425459037768942,0.4222782661243879,0.4898126648439551,0.26688465676842654,0.003243862219768119,-0.0014891680969574758,0.08654504609768794,-0.001921192028802076,-0.0022343771513794472,0.4505740321970748
DER_lep_eta_centrality,-0.03321111099102497,-0.10825321592883369,-0.05289046297154976,0.017213986649489466,0.6424307052717287,0.4773422531056708,-0.5596813242025518,-0.020377737089104786,-0.1141770695310532,-0.035960031937047124,-0.05740217761196041,0.1023345176470381,1.0,0.03962736549265276,-0.0006266330017632084,-0.0038402883108772643,-0.030942907268413627,-0.0020910774065335683,0.0036718363371883367,-0.01267919696144214,0.003463972843825058,-0.06957247428887757,-0.13138776406890412,0.0030710611570201425,0.0018149384850369354,-0.0034297708610120633,-0.02555582986481466,0.0003975446014552182,-0.002214264536482691,-0.045719196488066265
PRI_tau_pt,0.2679605546105295,-0.142901743316143,0.2886767016012092,0.41103844409205115,0.01780408973783974,0.11606647816812742,-0.039400541061311856,-0.20497644284710645,0.10083875520506062,0.4878995936670528,-0.47404673736976,0.13998494108524018,0.03962736549265276,1.0,0.000938067205649244,0.0007034097111690054,0.1060239924635998,0.0031741771441679066,0.0007864300967977028,0.17854255174135383,0.004612644367088461,0.4508502073656126,0.20854538396035982,0.3672479387619657,-0.0003664136087921552,0.004086980246367183,0.15107321988507696,0.0008444081417288852,-0.004153854047687964,0.3240411627795667
PRI_tau_eta,0.002404507857232641,-0.003961971868771285,0.003346935139716298,0.005333031137850896,-0.002247035269438533,-0.004236685491921913,0.002805780400296042,0.0010055140398776213,0.0031160651122163073,0.004487549543059105,-0.0003687223012326317,0.006260989938976275,-0.0006266330017632084,0.000938067205649244,1.0,-0.0007740287878332898,-0.00018837178828479733,0.5584261647341769,0.0008604369549754933,0.002525353700308638,-0.0001508046234987681,0.00524588981438131,0.007405388974579363,0.0006144435546810412,0.2101393259956488,0.002755847688217861,-0.0037364124148780045,0.1496424770894766,-0.00017732247828756585,0.00512641832605961
PRI_tau_phi,-0.0031276956674738295,-0.0012684313233439295,-0.004594396849155865,0.00946946477208821,-0.0018990864187286404,0.0016132229298651463,0.0015326899237827723,-0.014439271257571693,0.0018628817878093083,0.007587702041617518,0.0013987027770161675,0.0019662643736904394,-0.0038402883108772643,0.0007034097111690054,-0.0007740287878332898,1.0,0.0013233606346425937,-0.0016196150329895955,-0.20976679110043428,0.008320379251941732,0.0335320715609427,0.008991645465081648,0.006785612462077708,0.008660629168676454,0.00013799493997158164,-0.18355399656500743,0.004117994202965778,-0.0013772137074773364,-0.10205976347000188,0.008499552940026541
PRI_lep_pt,0.3442181268035963,0.31253154706144776,0.408204769603098,0.36298927694199395,-0.08149425371879426,0.02178627233614259,0.039405426399031634,-0.07066689793089852,0.11164318523749085,0.4601433902032998,0.7005197839554216,0.053493315089777574,-0.030942907268413627,0.1060239924635998,-0.00018837178828479733,0.0013233606346425937,1.0,0.0008623850665666036,-0.00102129762710812,0.17192019901377043,-0.0005032684948344922,0.3593835966300648,0.19468305130918398,0.3173912238665869,0.0007722252639407714,-0.002295583073928477,0.14545117376939293,-0.002906679763767562,0.00038192307966901894,0.2938787001764083
PRI_lep_eta,0.0015796084689097298,-0.008600472683536302,0.0017864452235084852,0.011434542759959901,-0.0008952789834703191,-0.002045392505377645,0.0004171972818503448,-0.0016281520665713473,0.007086952910674964,0.009888278621165378,-0.0004436190034581068,0.01341886242158331,-0.0020910774065335683,0.0031741771441679066,0.5584261647341769,-0.0016196150329895955,0.0008623850665666036,1.0,0.0006181862148315158,0.0034969515189463883,-0.0005517618384951295,0.011313792040312246,0.015339526466057404,-0.0005685186569359419,0.23106606443213448,0.0015052052193012405,-0.004137126148330618,0.16404717336739189,0.0008768564632279495,0.010755833351398672
PRI_lep_phi,-0.00222011713513654,0.001510471258234183,-0.0014586058936805874,-0.0010894706775275772,0.0007922287669887242,-0.001703164970504822,-0.001441732134118536,-0.00017639144641214512,-0.002956611025173795,-0.000593834795099415,-0.0014927109485915184,-0.0003096382782788744,0.0036718363371883367,0.0007864300967977028,0.0008604369549754933,-0.20976679110043428,-0.00102129762710812,0.0006181862148315158,1.0,-5.664892744699495e-05,0.023500822722924045,-0.004813698492774695,-0.0006164373000283908,-7.154274439388208e-05,0.0021586554572604892,-0.28857540042897567,-0.0010605439300748326,-0.0008944712060181136,-0.139952032547257,-0.0006504914902465153
PRI_met,0.09833706645886221,0.1840108060435541,-0.09111903572541316,0.6757079265485283,-0.06309887030487586,0.11974089283470864,0.014056649961436598,-0.4083204609632076,0.2507705499626045,0.5220827915116627,0.05453337628011682,0.18223377224977466,-0.01267919696144214,0.17854255174135383,0.002525353700308638,0.008320379251941732,0.17192019901377043,0.0034969515189463883,-5.664892744699495e-05,1.0,0.0017477298728632326,0.48951494355995284,0.33625449064579815,0.6112771990288411,0.0008672345025698324,0.002176108807422093,0.28166169691854503,0.0021137856586074654,-3.561758266524216e-05,0.5369297409508138
PRI_met_phi,-0.002331103807389968,-0.017718616080225735,-0.0028574988810685636,0.009456509851886143,0.0018394902270840096,0.0032848316029592613,-0.002802400672160931,-0.004352697870825351,0.0004915298654712369,0.0075068751634056645,-0.0031138520542504555,0.010425459037768942,0.003463972843825058,0.004612644367088461,-0.0001508046234987681,0.0335320715609427,-0.0005032684948344922,-0.0005517618384951295,0.023500822722924045,0.0017477298728632326,1.0,0.005414263498259983,0.007284254571110423,0.0070124187024472205,-0.0017729273722702685,-0.28874935480536307,0.0028160912052595946,-0.0002954925669047803,-0.12769013841357654,0.007923771421752894
PRI_met_sumet,0.09150185670671546,-0.16678842160482973,0.05635899976249452,0.7836751673281984,-0.14679876510191456,0.16099066530165418,0.05279905119009278,-0.40660157831965393,0.461238344453996,0.9051252423696233,0.049505107168180414,0.4222782661243879,-0.06957247428887757,0.4508502073656126,0.00524588981438131,0.008991645465081648,0.3593835966300648,0.011313792040312246,-0.004813698492774695,0.48951494355995284,0.005414263498259983,1.0,0.7047440390243747,0.7947530943428482,-9.348705340702713e-05,0.004692509955685745,0.6722498063580559,-0.0005437216436455325,0.0005145730885081803,0.8848219878774107
PRI_jet_num,0.014967424738254713,-0.21165710474409627,-0.02511537151683586,0.6234818825873618,-0.17597215786724515,-0.07547524473599951,0.1260850057825413,-0.3487417729956997,0.3699326858547583,0.7578692858552473,0.05294889070052019,0.4898126648439551,-0.13138776406890412,0.20854538396035982,0.007405388974579363,0.006785612462077708,0.19468305130918398,0.015339526466057404,-0.0006164373000283908,0.33625449064579815,0.007284254571110423,0.7047440390243747,1.0,0.3587061281767407,-9.326502774015373e-05,0.001907385289141006,0.2766222729210587,-0.0003672100033621669,-0.0036160791053636873,0.8033284584150445
PRI_jet_leading_pt,0.00550068679115986,-0.14592689300880538,-0.07589950409581286,0.8250538747207276,-0.04829503896464368,0.2815165008347152,-0.022697746551856295,-0.4829563130335222,0.2277639290587366,0.8787525394785937,0.07718313080962015,0.26688465676842654,0.0030710611570201425,0.3672479387619657,0.0006144435546810412,0.008660629168676454,0.3173912238665869,-0.0005685186569359419,-7.154274439388208e-05,0.6112771990288411,0.0070124187024472205,0.7947530943428482,0.3587061281767407,1.0,0.00155035966323793,-0.000387771986327171,0.574220552401287,0.00035505997606827066,0.002130060996005757,0.8780288113576638
PRI_jet_leading_eta,0.00016185032941866864,-0.00011688795422652312,-0.000406916359039442,0.0024195426631421005,0.0005054719327976377,-0.0012084185318237408,-0.0015095461904307576,-0.0021307131166124053,-0.0015528201616224532,0.0007869460338266373,0.0015938295183939933,0.003243862219768119,0.0018149384850369354,-0.0003664136087921552,0.2101393259956488,0.00013799493997158164,0.0007722252639407714,0.23106606443213448,0.0021586554572604892,0.0008672345025698324,-0.0017729273722702685,-9.348705340702713e-05,-9.326502774015373e-05,0.00155035966323793,1.0,-0.0006052807564316356,-0.0009766602714106132,-0.234204775419881,8.923155102482078e-05,0.0008401152912681025
PRI_jet_leading_phi,0.0044797764277757475,0.004803640343688355,0.004029219310669217,-0.0005259704100861838,-0.0010580962147008091,0.00013308036664498333,-0.0006814777462608153,0.006910770744408051,0.0033213270044716446,0.0012421628602976877,-0.0035639858449847354,-0.0014891680969574758,-0.0034297708610120633,0.004086980246367183,0.002755847688217861,-0.18355399656500743,-0.002295583073928477,0.0015052052193012405,-0.28857540042897567,0.002176108807422093,-0.28874935480536307,0.004692509955685745,0.001907385289141006,-0.000387771986327171,-0.0006052807564316356,1.0,0.002308079406343693,0.0007328717233473183,-0.06105787844147267,0.0010259707118839515
PRI_jet_subleading_pt,-0.011646593280714995,-0.03588815253255692,-0.04615060045643881,0.35481815928349103,-0.09197240179972226,0.23629539209502515,0.005247601045340372,-0.2266034766846765,0.32095994452272764,0.7329600305599341,0.04426601915534536,0.08654504609768794,-0.02555582986481466,0.15107321988507696,-0.0037364124148780045,0.004117994202965778,0.14545117376939293,-0.004137126148330618,-0.0010605439300748326,0.28166169691854503,0.0028160912052595946,0.6722498063580559,0.2766222729210587,0.574220552401287,-0.0009766602714106132,0.002308079406343693,1.0,0.0004307758198162835,-0.003523864309850693,0.7999628674825728
PRI_jet_subleading_eta,-0.0003577205498857338,-0.0007576968639994765,-0.0030684636078200356,0.0003890679050605851,-0.0024768847942011024,-0.0011934350959178098,0.0005756123017945363,-0.0014209307903878731,-0.0009079210214550256,-0.00012759871259294177,-0.0030356556641708845,-0.001921192028802076,0.0003975446014552182,0.0008444081417288852,0.1496424770894766,-0.0013772137074773364,-0.002906679763767562,0.16404717336739189,-0.0008944712060181136,0.0021137856586074654,-0.0002954925669047803,-0.0005437216436455325,-0.0003672100033621669,0.00035505997606827066,-0.234204775419881,0.0007328717233473183,0.0004307758198162835,1.0,0.0009144829543213415,0.0003939213991414943
PRI_jet_subleading_phi,-0.0006012277959754752,0.005127815541496177,0.0002165495097256953,-0.003050488271855705,0.0012020655406448676,0.0024456796354351963,0.0007861739046792454,0.0036049867144573706,-0.00013973658574686825,-0.0012739773597856652,0.0035594701491915375,-0.0022343771513794472,-0.002214264536482691,-0.004153854047687964,-0.00017732247828756585,-0.10205976347000188,0.00038192307966901894,0.0008768564632279495,-0.139952032547257,-3.561758266524216e-05,-0.12769013841357654,0.0005145730885081803,-0.0036160791053636873,0.002130060996005757,8.923155102482078e-05,-0.06105787844147267,-0.003523864309850693,0.0009144829543213415,1.0,-0.0004979600673974388
PRI_jet_all_pt,0.011508064379594845,-0.2105107257576639,-0.051009866877690324,0.8083377777545238,-0.11276490429457084,0.23831429203881518,0.02203006681072188,-0.4481142548687578,0.4153686933094336,0.9656906142722123,0.077622240395603,0.4505740321970748,-0.045719196488066265,0.3240411627795667,0.00512641832605961,0.008499552940026541,0.2938787001764083,0.010755833351398672,-0.0006504914902465153,0.5369297409508138,0.007923771421752894,0.8848219878774107,0.8033284584150445,0.8780288113576638,0.0008401152912681025,0.0010259707118839515,0.7999628674825728,0.0003939213991414943,-0.0004979600673974388,1.0
